fiveX,fiveY,fourX,fourY,sixX,sixY,threeX,threeY,twoX,twoY
-122.415842243,37.7614256987,-122.41708247,37.7874271188,-122.415841044,37.7614223163,-122.415824765,37.7613460569,-122.417212581,37.7873942622
-122.418769977,37.787654471,-122.415793328,37.7614468112,-122.41734574,37.7862640823,-122.417097424,37.7874245499,-122.419243117,37.7600042167
-122.466324981,37.7188142471,-122.466324981,37.7188142471,-122.486535637,37.7584929825,-122.478114749,37.7389064857,,
-122.486397828,37.7585723047,-122.486397828,37.7585723047,-122.466324981,37.7188142471,,,,
-122.404534686,37.7855306867,,,-122.403576357,37.7854798563,,,,
,,,,-122.421686376,37.7908162085,,,,
