,lat,lon
0,37.7725405392,-122.466204668
1,37.7754207067,-122.403404791
2,37.7612911364,-122.48503873
3,37.7864394525,-122.409660752
4,37.7578801214,-122.417955822
5,37.7869881885,-122.410699658
6,37.7869881885,-122.410699658
7,37.7869881885,-122.410699658
8,37.7578884408,-122.417817853
9,37.7833104067,-122.388379874
10,37.7833104067,-122.388379874
11,37.7833104067,-122.388379874
12,37.7833104067,-122.388379874
13,37.7833104067,-122.388379874
14,37.7833104067,-122.388379874
15,37.7754207067,-122.403404791
16,37.7754207067,-122.403404791
17,37.7833104067,-122.388379874
18,37.7833104067,-122.388379874
19,37.7833104067,-122.388379874
20,37.7833104067,-122.388379874
21,37.790463178,-122.405941469
22,37.7899019823,-122.407114491
23,37.7859988324,-122.411747372
24,37.7859342572,-122.426508142
25,37.7808757917,-122.470190416
26,37.7769551138,-122.417997608
27,37.7513339692,-122.478349616
28,37.7588312135,-122.415781282
29,37.7586968166,-122.417964484
30,37.7812550935,-122.458860616
31,37.7854574903,-122.400916029
32,37.7854574903,-122.400916029
33,37.7854574903,-122.400916029
34,37.7854574903,-122.400916029
35,37.7854574903,-122.400916029
36,37.7854574903,-122.400916029
37,37.7854574903,-122.400916029
38,37.7854574903,-122.400916029
39,37.7854574903,-122.400916029
40,37.7854574903,-122.400916029
41,37.7854574903,-122.400916029
42,37.7854574903,-122.400916029
43,37.7854574903,-122.400916029
44,37.7854574903,-122.400916029
45,37.7854574903,-122.400916029
46,37.7854574903,-122.400916029
47,37.7854574903,-122.400916029
48,37.7854574903,-122.400916029
49,37.7854574903,-122.400916029
50,37.7854574903,-122.400916029
51,37.7854574903,-122.400916029
52,37.7854574903,-122.400916029
53,37.7854574903,-122.400916029
54,37.7854574903,-122.400916029
55,37.7854574903,-122.400916029
56,37.7383655655,-122.47548463
57,37.787359495,-122.408231026
58,37.787965257,-122.418467748
59,37.787965257,-122.418467748
60,37.7571005796,-122.417812559
61,37.7571005796,-122.417812559
62,37.7604330004,-122.41592985
63,37.7604330004,-122.41592985
64,37.787965257,-122.418467748
65,37.787965257,-122.418467748
66,37.7604330004,-122.41592985
67,37.7588955948,-122.414693065
68,37.787965257,-122.418467748
69,37.7604330004,-122.41592985
70,37.787965257,-122.418467748
71,37.787965257,-122.418467748
72,37.7604330004,-122.41592985
73,37.7604330004,-122.41592985
74,37.787965257,-122.418467748
